notation,prefLabel
33.31,Perhe- ja holhousoikeus
33.32,Perintö- ja testamenttioikeus
33.33,Esine- ja velvoiteoikeus
33.331,Asunto- ja kiinteistönkauppaoikeus
33.34,Immateriaalioikeudet
33.35,Huoneen- ja maanvuokralainsäädäntö
33.36,Kauppaoikeus
33.362,Kirjanpito- ja tilintarkastuslainsäädäntö
33.364,Yhtiölainsäädäntö
33.367,Pankkilainsäädäntö
33.368,Vakuutuslainsäädäntö
33.4,Talousoikeus
33.41,Maa- ja vesioikeus
33.42,Maa- ja metsätalouslainsäädäntö
33.43,Elinkeino-oikeus
33.44,Työoikeus
33.45,Liikennelainsäädäntö
33.5,Rikosoikeus
33.58,Kriminaalipolitiikka. Vankeinhoito
33.6,Prosessioikeus. Oikeushallinto
33.62,Ulosotto- ja konkurssilainsäädäntö
34,ALUESUUNNITTELU. ALUEPOLITIIKKA
34.1,Valtakunnansuunnittelu
34.2,Seutusuunnittelu
34.5,Yhdyskuntasuunnittelu. Kaupunkisuunnittelu Ympäristönsuunnittelu
34.52,Asuinalueiden suunnittelu
34.56,Liikennesuunnittelu
34.57,Viheralueiden suunnittelu
35,HALLINTO
35.1,Valtionhallinto
35.11,Keskushallinto
35.12,Valtion alue- ja paikallishallinto. Maakuntahallinto
35.4,Kunnallishallinto. Paikallishallinto
35.48,Kuntien yhteistoiminta
35.6,Palo- ja pelastustoimi
35.7,Poliisitoimi. Yleinen turvallisuus
36,TALOUSTIEDE. KANSANTALOUSTIEDE
36.09,Taloushistoria
36.1,Talouspolitiikka. Taloudelliset rakenteet
36.11,Pääoma. Luonnonvarat
36.111,Maa. Kiinteistöt. Tontit
36.12,Tuotanto. Tuottavuus
36.13,Työ. Työelämä
36.131,Työvoimapolitiikka
36.132,Palkkapolitiikka. Tulopolitiikka
36.133,Työmarkkinajärjestöt
36.14,Hinnat. Hintapolitiikka
36.15,Elintaso. Kulutus
36.2,Raha. Valuutta
36.22,Pankkitoimi. Pörssitoimi. Sijoitustoiminta
36.3,Vakuutustoimi
36.4,Osuustoiminta
36.5,Julkinen talous. Finanssioppi
36.51,Taloussuunnittelu
36.52,Verotus. Veropolitiikka
36.53,Julkistaloudellinen kirjanpito ja tilintarkastus
36.6,Kansainvälinen talous. Maailmankauppa
36.61,Kansainväliset talousjärjestöt
36.62,Monikansalliset yritykset
36.63,Suomen ulkomaankauppa
36.68,Kehitysmaiden taloudelliset olot
37,SOSIAALIPOLITIIKKA
37.1,Työsuojelu. Ergonomia
37.13,Eri alojen työsuojelu ja ergonomia
37.2,Sosiaaliturvapolitiikka
37.21,Toimeentuloturva
37.23,Sosiaalipalvelut
37.232,Vanhuspalvelut
37.233,Vammaispalvelut
37.4,Perhepolitiikka
37.41,Päivähoito
37.42,Lasten ja nuorten huolto ja suojelu
37.5,Asuntopolitiikka
37.6,Päihdepolitiikka. Päihdehuolto
37.61,Alkoholipolitiikka
37.62,Huumausainepolitiikka
37.7,Yksityinen avustus- ja huoltotyö
37.8,Kuluttajapolitiikka
38,KASVATUS. OPETUS. KASVATUSTIEDE
38.1,Perhe- ja kotikasvatus
38.2,Opetusoppi
38.22,Oppimateriaalit. Opetusvälineet
38.221,Tietotekniikan käyttö opetuksessa
38.29,Eri alojen opetusoppi
38.291,Filosofian ja psykologian opetusoppi
38.292,Uskonnon opetusoppi
38.293,Yhteiskuntatieteiden opetusoppi
38.294,Maantieteen ja kansatieteen opetusoppi
38.295,"Matematiikan, luonnontieteiden ja lääketieteen opetusoppi"
38.296,Sovellettujen tieteiden opetusoppi
38.297,Taiteiden ja urheilun opetusoppi
38.298,Kielten ja kirjallisuuden opetusoppi
38.299,Historian opetusoppi
38.3,Opiskelutekniikka
38.4,Yliopistot. Korkeakoulut
38.41,Yksittäiset yliopistot ja korkeakoulut
38.5,Koululaitos
38.51,Esiopetus
38.52,Peruskoulut
