notation,prefLabel
2.7,Ruotsinkieliset sadut (Kaunoluokka)
2.79,Ruotsinkieliset kuvakirjat (Kaunoluokka)
2.791,Ruotsinkieliset sarjakuvat ja animaatioelokuvat (Kaunoluokka)
2.8,Tanskankielinen kaunokirjallisuus (Kaunoluokka)
2.81,Tanskankieliset kansanrunot (Kaunoluokka)
2.82,Tanskankieliset runot (Kaunoluokka)
2.83,Tanskankieliset näytelmät ja kuunnelmat (Kaunoluokka)
2.84,"Tanskankieliset romaanit, novellit ja näytelmäelokuvat (Kaunoluokka)"
2.87,Tanskankieliset sadut (Kaunoluokka)
2.879,Tanskankieliset kuvakirjat (Kaunoluokka)
2.8791,Tanskankieliset sarjakuvat ja animaatioelokuvat (Kaunoluokka)
2.89,Grönlanninkielinen kaunokirjallisuus (Kaunoluokka)
2.9,Norjankielinen kaunokirjallisuus (Kaunoluokka)
2.91,Norjankieliset kansanrunot (Kaunoluokka)
2.92,Norjankieliset runot (Kaunoluokka)
2.93,Norjankieliset näytelmät ja kuunnelmat (Kaunoluokka)
2.94,"Norjankieliset romaanit, novellit ja näytelmäelokuvat (Kaunoluokka)"
2.97,Norjankieliset sadut (Kaunoluokka)
2.979,Norjankieliset kuvakirjat (Kaunoluokka)
2.9791,Norjankieliset sarjakuvat ja animaatioelokuvat (Kaunoluokka)
2.98,Islanninkielinen kaunokirjallisuus (Kaunoluokka)
2.99,Fäärinkielinen kaunokirjallisuus (Kaunoluokka)
200,YLEINEN USKONTOTIEDE. YLEINEN USKONNONFILOSOFIA
201,Uskonnonfilosofia
204,Teosofia. Antroposofia. Vapaamuurarius
204.1,Teosofia
204.2,Antroposofia
204.3,Vapaamuurarius
205,Elämä. Kuolema
206,Luominen. Kehitys
207,Uskonto ja valtio
208,Uskontososiologia
209,Yleinen uskontotiede. Yleinen uskontohistoria
210,KRISTINUSKO. KRISTILLINEN TEOLOGIA
211,Kristinuskon filosofia
212,Oppikirjat
213,Sanakirjat. Hakuteokset
214,Esseet
215,Kausijulkaisut
216,Yhdistykset. Laitokset. Kokoukset. Ekumenia
217,Opinnot
218,Kokoomateokset
218.4,Kartat
218.5,Museot. Arkistot. Kokoelmat. Näyttelyt
219,Kristillisen teologian historia
220,RAAMATTU. RAAMATUNTUTKIMUS
221,Vanha Testamentti
222,Vanhan Testamentin historialliset kirjat
223,Vanhan Testamentin runolliset kirjat
224,Vanhan Testamentin profeetalliset kirjat
225,Uusi Testamentti
226,Evankeliumit
227,Apostolien teot. Apostoliset kirjeet
228,Johanneksen ilmestys
229,Apokryfikirjat. Apostoliset isät
230,KRISTILLINEN DOGMATIIKKA
231,Jumalan olemus
232,Kristologia
234,Pelastusoppi. Kristillinen antropologia
235,Enkelit. Paholaiset. Demonit
236,Eskatologia
237,Kuolema ja kuolemanjälkeinen elämä
238,Uskontunnustukset. Katekismukset
239,Apologetiikka
240,KÄYTÄNNÖLLINEN TEOLOGIA
241,Kristillinen etiikka
242,Hartauskirjat
242.1,Rukouskirjat
245,Virsikirjat ja hengelliset laulukirjat
246,Kirkolliset esineet ja symbolit
247,Sielunhoito
248,Henkilökohtainen hartaudenharjoitus
250,EVANKELIS-LUTERILAINEN KIRKKO
251,Sakramentit. Kirkolliset toimitukset
252,Kirkolliset juhlat ja juhlapäivät
253,Kirkko-oikeus
254,Seurakunta. Seurakuntatyö
255,Laitokset. Järjestöt
256,Saarnaoppi
257,Saarnat. Postillat. Kristilliset puhe- ja päivänavauskokoelmat
258,Sisälähetys. Evankelioiminen
259,Lähetystyö
260,MUUT KRISTILLISET KIRKOT
261,Itämaiset kirkot
262,Roomalaiskatolinen kirkko
263,Ortodoksinen kirkko
265,Protestanttiset kirkot ja yhteisöt
269,Muut kristillisperäiset yhteisöt
270,KIRKKOHISTORIA
271,Vanha aika
272,Keskiaika
273,Uusi aika
274,Uusin aika. Nykyaika
279,Eri maiden kirkkohistoria
279.1,Suomi
279.2,Pohjoismaat
279.21,Ruotsi
279.3,Muu Eurooppa
279.31,Saksa
280,EI-KRISTILLISET USKONNOT JA MYTOLOGIAT
281,Itä-Aasian uskonnot ja mytologiat
282,Intian uskonnot ja mytologiat
283,Buddhalaisuus ja sen mytologia
284,Muinais-Egyptin ja Etu-Aasian uskonnot ja mytologiat
285,Antiikin Kreikan ja Rooman uskonnot ja mytologiat
286,Persian uskonnot ja mytologiat
287,Islam ja sen mytologia
288,Juutalaisten uskonto ja sen mytologia
289,Muut uskonnot ja mytologiat
289.1,Afrikan alkuperäiskansojen uskonnot
289.2,Amerikan alkuperäiskansojen uskonnot ja mytologiat
289.3,Australian ja Oseanian alkuperäiskansojen uskonnot ja mytologiat
289.8,Muinaissuomalaiset ja suomalais-ugrilaiset uskonnot ja mytologiat
289.9,"Muinaisgermaaniset, -balttilaiset, -slaavilaiset ja -kelttiläiset uskonnot ja mytologiat"
289.91,Muinaispohjoismaiset uskonnot ja mytologiat
3,SAKSANKIELINEN KAUNOKIRJALLISUUS (Kaunoluokka)
3.1,Saksankieliset kansanrunot (Kaunoluokka)
3.2,Saksankieliset runot (Kaunoluokka)
3.3,Saksankieliset näytelmät ja kuunnelmat (Kaunoluokka)
3.4,"Saksankieliset romaanit, novellit ja näytelmäelokuvat (Kaunoluokka)"
3.7,Saksankieliset sadut (Kaunoluokka)
3.79,Saksankieliset kuvakirjat (Kaunoluokka)
3.791,Saksankieliset sarjakuvat ja animaatioelokuvat (Kaunoluokka)
3.8,Hollanninkielinen kaunokirjallisuus (Kaunoluokka)
3.89,Afrikaansinkielinen kaunokirjallisuus (Kaunoluokka)
3.9,Jiddinkielinen kaunokirjallisuus (Kaunoluokka)
300,YHTEISKUNTATIETEET
301,Filosofia. Teoria. Tutkimusmenetelmät
302,Oppikirjat. Oppaat. Harjoituskirjat. Tehtäväkokoelmat
303,Sanakirjat. Hakuteokset
304,Esseet
305,Kausijulkaisut
306,Yhdistykset. Laitokset. Kokoukset
307,Opinnot
308,Kokoomateokset
308.1,Standardit
308.3,Tilastot. Taulukot
308.4,Kartat
308.5,Museot. Arkistot. Kokoelmat. Näyttelyt
309,Yhteiskuntatieteiden historia
310,TILASTOTIEDE
311,Teoria. Tutkimusmenetelmät. Tilastomatematiikka
312,Väestötilasto. Sosiaalitilasto
312.1,Väestötiede. Väestöpolitiikka
314,Kansainväliset yleiset tilastot
315,Suomen yleiset tilastot
316,Muiden maiden yleiset tilastot
320,VALTIO-OPPI. POLITIIKKA
321,Valtiofilosofia. Valtiomuodot
323,Ihmisoikeudet. Kansalaisen asema yhteiskunnassa
323.1,Rotujen asema. Rotusyrjintä
323.2,Juutalaisten asema. Antisemitismi
323.3,Poliittiset ja aatteelliset vähemmistöt
323.9,Orjuus
324,Sisäpolitiikka. Puolueet
324.1,Suomi
325,Kansainvälinen politiikka
325.1,Suomen ulkopolitiikka
326,Kansainvälinen yhteistyö
326.2,Euroopan maiden yhteistyö. Euroopan Unioni
326.3,Muiden maanosien valtioiden keskinäinen yhteistyö
326.4,Yhdistyneet Kansakunnat
326.5,Rauhankysymys. Rauhantutkimus
327,Suomen valtiojärjestelmä
327.1,Suomen valtiopäiväasiakirjat
328,Muiden maiden valtiojärjestelmät
330,OIKEUSTIEDE
330.1,Oikeusfilosofia
330.12,Oikeussosiologia. Oikeuspolitiikka. Oikeuspsykologia
330.2,Asiakirjakaavat ja -ohjeet. Oikeusoppaat
332,Julkisoikeus
332.1,Valtiosääntöoikeus
332.2,Hallinto-oikeus
332.21,Asemakaava- ja rakentamislainsäädäntö
332.22,Sosiaalioikeus
332.23,Vero-oikeus
332.4,Rikosoikeus
332.5,Prosessioikeus. Oikeushallinto
332.9,Vankeinhoito. Vankilat
333,Siviili- ja kauppaoikeus. Sopimusoikeus
333.1,Esine- ja velvoiteoikeus. Immateriaalioikeudet. Huoneen- ja maanvuokralainsäädäntö
333.2,Perhe- ja holhousoikeus
333.3,Perintö- ja testamenttioikeus
333.4,Kauppaoikeus. Yhtiölainsäädäntö. Pankki- ja vakuutuslainsäädäntö
334,Ympäristöoikeus. Talousoikeus
334.2,Merioikeus
334.3,Maaoikeus
334.4,Vesioikeus
334.5,Maa- ja metsätalouslainsäädäntö
334.7,Työoikeus
336,Kansainvälinen oikeus
337,Suomen ja Euroopan Unionin laki- ja asetuskokoelmat
338,Muiden maiden lait
339,Oikeushistoria
340,HALLINTO
342,Jätehuolto. Ympäristönhuolto. Yhdyskuntatekniikka
343,Palo- ja pelastustoimi
344,"Poliisitoimi. Meri-, raja- ja rannikkovartiolaitos"
345,Suomen kunnallishallinto. Kuntien yhteistoiminta
345.11,Helsinki. Pääkaupunkiseutu
346,Suomen maakuntahallinto
347,Suomen valtionhallinto
347.1,Komiteat. Komiteanmietinnöt
348,"Muiden maiden kunnallis-, läänin- ja valtionhallinto"
350,SOSIOLOGIA
351,Yhteiskuntafilosofia
352,Yhteiskunnan rakenne
352.1,Alueellinen sosiologia. Maassamuutto
353,Organisaatioiden ja laitosten sosiologia
353.1,Työn sosiologia
357,Elämäntapojen sosiologia. Kulttuurisosiologia
357.1,Osakulttuurien sosiologia
358,Perhesosiologia
359,Kriminologia. Kriminaalisosiologia
360,TALOUSTIEDE. KANSANTALOUSTIEDE
361,Pääoma. Työ. Luonnonvarat
362,Raha. Valuutta. Pankit. Pörssit
363,Valtiontalous. Finanssioppi
363.1,Valtionverotus. Veropolitiikka
363.2,Tullilaitos
364,Osuustoiminta
365,Kiinteistöt. Tontit
366,Talousjärjestelmät
367,Kansainväliset taloudelliset suhteet. Maailmantalous
367.1,Suomen ulkomaankauppa
367.2,Maailmankauppa. Kansainväliset talousjärjestöt
367.3,Monikansalliset yritykset
367.9,Kehitysmaiden taloudelliset olot
368,Talouspolitiikka. Talouselämä
368.1,Tuotanto. Tuottavuus
368.2,Hinnat. Hintapolitiikka
368.3,Elintaso. Kulutus
368.4,Talouselämän kehitysilmiöt
369,Talousmaantiede. Taloushistoria
370,YHTEISKUNTAPOLITIIKKA
370.1,Aluepolitiikka. Ympäristöpolitiikka
370.2,Yhteiskunnallinen futurologia
371,Sosiaalipolitiikka
371.1,Työ sosiaalipoliittisena kysymyksenä
371.11,Työolot
371.12,Työsuojelu
371.13,Työllisyys. Työttömyys. Työvoimapalvelu
371.2,Maapolitiikka
